lat,lon,Marker,Colour,Id de punto,Lgend,Alt. Elip.
37.591892205555600,-6.3553344194444400000,circle1,white,82,,357.2884
37.591894686111100,-6.3553374000000000000,circle1,blue,83,,357.4067
37.591898183333300,-6.3553416527777800000,circle1,white,84,,357.5078
37.591880180555600,-6.3553235388888900000,circle1,white,85,,357.1457
37.591884227777800,-6.3553180972222200000,circle1,white,86,,357.2968
37.591936525000000,-6.3553256000000000000,circle1,grey,87,,357.5095
37.591937725000000,-6.3553161222222200000,circle1,blue,88,,357.4081
37.591945066666700,-6.3553088583333300000,circle1,white,89,,357.5117
37.591959080555600,-6.3552994111111100000,circle1,white,90,,357.6051
37.591959933333300,-6.3552957527777800000,circle1,white,91,,357.664
37.591963350000000,-6.3553021972222200000,circle1,white,92,,357.5471
37.591973661111100,-6.3553040583333300000,circle1,white,93,,357.6537
37.592023086111100,-6.3552222444444400000,circle1,white,94,,358.21
37.592032738888900,-6.3552127722222200000,circle1,white,95,,358.393
37.592035216666700,-6.3552045833333300000,circle1,blue,96,,358.5899
37.592038211111100,-6.3552096444444400000,circle1,white,97,,358.3507
37.592222591666700,-6.3551573694444400000,circle1,blue,98,,359.1921
37.592225950000000,-6.3551563305555600000,circle1,white,99,,359.1479
37.592228188888900,-6.3551525277777800000,circle1,blue,100,,359.1582
37.591215602777800,-6.3554312444444400000,circle1,white,101,,354.2421
37.591182327777800,-6.3553974666666700000,circle1,white,102,,354.1441
37.591199261111100,-6.3554420388888900000,circle1,blue,103,,354.7133
37.591194119444400,-6.3554403083333300000,circle1,blue,104,,354.7475
37.591335802777800,-6.3553913027777800000,circle1,white,105,,355.2302
37.591374750000000,-6.3554157555555500000,circle1,white,106,,355.1546
37.591235647222200,-6.3554109611111100000,circle1,blue,107,,354.7408
37.591339894444400,-6.3553913194444400000,circle1,blue,108,,355.1677
37.591373191666700,-6.3554205972222200000,circle1,white,109,,355.1213
37.591374747222200,-6.3554175944444400000,circle1,white,110,,355.1411
37.591412130555600,-6.3554245388888900000,circle1,white,111,,355.1473
37.591408669444400,-6.3554411055555600000,circle1,white,112,,355.1498
37.591413538888900,-6.3554374166666700000,circle1,white,113,,355.2021
37.591416694444400,-6.3554360111111100000,circle1,white,114,,355.2217
37.591420027777800,-6.3554319388888900000,circle1,white,115,,355.0958
37.591420058333300,-6.3554347666666700000,circle1,white,116,,355.1975
37.591423586111100,-6.3554380388888900000,circle1,white,117,,355.2911
37.591427561111100,-6.3554331972222200000,circle1,white,118,,355.1816
37.591430472222200,-6.3554360916666700000,circle1,white,119,,355.2974
37.591422566666700,-6.3554187361111100000,circle1,white,120,,355.3817
37.591429205555600,-6.3554231583333300000,circle1,white,121,,355.1095
37.591433163888900,-6.3554269083333300000,circle1,white,122,,355.2819
37.591434561111100,-6.3554257666666700000,circle1,white,123,,355.2297
37.591433369444400,-6.3554241611111100000,circle1,white,124,,355.2478
37.591443297222200,-6.3554302944444400000,circle1,white,125,,355.2066
37.591447886111100,-6.3554273416666700000,circle1,white,126,,355.1659
37.591446505555600,-6.3554208666666700000,circle1,white,127,,355.2191
37.591457283333300,-6.3554207055555500000,circle1,white,128,,355.2415
37.591457725000000,-6.3554274027777800000,circle1,white,129,,355.1639
37.591467469444400,-6.3554283777777800000,circle1,white,130,,355.355
37.591475197222200,-6.3554168777777800000,circle1,white,131,,355.4055
37.591480402777800,-6.3554181555555600000,circle1,blue,132,,355.3535
37.591482994444400,-6.3554181027777800000,circle1,white,133,,355.4415
37.591478697222200,-6.3554277750000000000,circle1,white,134,,355.3485
37.591482688888900,-6.3554253388888900000,circle1,white,135,,355.3522
37.591481183333300,-6.3554267472222200000,circle1,white,136,,355.3735
37.591483633333300,-6.3554288333333300000,circle1,white,137,,355.4156
37.591266613888900,-6.3553724944444400000,circle1,white,138,,354.4308
37.591462272222200,-6.3554301277777800000,circle1,white,139,,355.3903
37.591517052777800,-6.3554318944444400000,circle1,white,140,,355.604
37.591529930555600,-6.3554286833333300000,circle1,white,141,,355.5809
37.591531816666700,-6.3554306527777800000,circle1,white,142,,355.6069
37.591531688888900,-6.3554228722222200000,circle1,white,143,,355.4476
37.591538711111100,-6.3554305444444400000,circle1,white,144,,355.6923
37.591537380555600,-6.3554295916666700000,circle1,white,145,,355.5788
37.591548427777800,-6.3554313361111100000,circle1,white,146,,355.5483
37.591548750000000,-6.3554257833333300000,circle1,white,147,,355.5655
37.591554605555600,-6.3554250888888900000,circle1,white,148,,355.612
37.591561250000000,-6.3554249000000000000,circle1,white,149,,355.6356
37.591562213888900,-6.3554336750000000000,circle1,white,150,,355.6926
37.591566427777800,-6.3554345166666700000,circle1,white,151,,355.6581
37.591570155555600,-6.3554270000000000000,circle1,white,152,,355.5754
37.591572369444400,-6.3554292361111100000,circle1,white,153,,355.6311
37.591575236111100,-6.3554275444444400000,circle1,white,154,,355.644
37.591575188888900,-6.3554308000000000000,circle1,white,155,,355.757
37.591578519444400,-6.3554247666666700000,circle1,white,156,,355.5694
37.591577980555600,-6.3554279444444400000,circle1,white,157,,355.6548
37.591579650000000,-6.3554236777777800000,circle1,white,158,,355.5926
37.591582416666700,-6.3554259888888900000,circle1,white,159,,355.5985
37.591581636111100,-6.3554184138888900000,circle1,white,160,,355.6477
37.591583966666700,-6.3554272861111100000,circle1,white,161,,355.6787
37.591586197222200,-6.3554252138888900000,circle1,white,162,,355.6885
37.591583686111100,-6.3554187472222200000,circle1,white,163,,355.7065
37.591588008333300,-6.3554176111111100000,circle1,white,164,,355.7239
37.591592455555600,-6.3554232555555600000,circle1,white,165,,355.6816
37.591592080555600,-6.3554146305555600000,circle1,blue,166,,355.876
37.591595183333300,-6.3554231694444400000,circle1,white,167,,355.751
37.591593572222200,-6.3554195472222200000,circle1,white,168,,355.6313
37.591607750000000,-6.3554162500000000000,circle1,white,169,,355.6808
37.591617652777800,-6.3554135027777800000,circle1,white,170,,355.8107
37.591626319444400,-6.3554135388888900000,circle1,white,171,,355.8322
37.591627233333300,-6.3554139472222200000,circle1,white,172,,355.8174
37.591631750000000,-6.3554252972222200000,circle1,white,173,,356.1313
37.591630591666700,-6.3554097972222200000,circle1,blue,174,,356.075
37.591631247222200,-6.3554097277777800000,circle1,white,175,,356.138
37.591633261111100,-6.3554139833333300000,circle1,blue,176,,355.8558
37.591648566666700,-6.3554020750000000000,circle1,blue,177,,356.3364
37.591651977777800,-6.3554027472222200000,circle1,white,178,,356.3653
37.591648202777800,-6.3554347000000000000,circle1,white,179,,356.2555
37.591658480555600,-6.3554027916666700000,circle1,blue,180,,356.4065
37.591658383333300,-6.3554138138888900000,circle1,white,181,,356.1704
37.591660119444400,-6.3554274722222200000,circle1,white,182,,356.4457
37.591662991666700,-6.3554239138888900000,circle1,white,183,,356.3568
37.591661344444400,-6.3554243444444400000,circle1,blue,184,,356.3419
37.591688191666700,-6.3554352694444400000,circle1,white,185,,356.7572
37.591694219444400,-6.3554378888888900000,circle1,white,186,,356.648
37.591698222222200,-6.3554352472222200000,circle1,white,187,,356.6941
37.591701163888900,-6.3554269944444400000,circle1,blue,188,,356.6188
37.591726658333300,-6.3554004027777800000,circle1,white,189,,356.8229
37.591739602777800,-6.3554066361111100000,circle1,white,190,,356.7247
37.591741133333300,-6.3553928722222200000,circle1,white,191,,356.8731
37.591744513888900,-6.3553969472222200000,circle1,blue,192,,356.9068
37.591744461111100,-6.3554018805555600000,circle1,blue,193,,356.8009
37.591745152777800,-6.3554017444444400000,circle1,white,194,,356.6107
37.591782336111100,-6.3553955166666700000,circle1,white,195,,356.5819
37.591783136111100,-6.3553686972222200000,circle1,white,196,,356.8917
37.591798013888900,-6.3553801222222200000,circle1,white,197,,356.8568
37.591799727777800,-6.3553806444444400000,circle1,white,198,,356.8781
37.591792075000000,-6.3553611250000000000,circle1,white,199,,356.8379
37.591789555555600,-6.3553597750000000000,circle1,white,200,,356.9075
37.592230575000000,-6.3551545972222200000,circle1,white,201,,359.2473
37.592231308333300,-6.3551536000000000000,circle1,white,202,,359.1845
37.592230675000000,-6.3551530027777800000,circle1,white,203,,359.1521
37.592232122222200,-6.3551523777777800000,circle1,white,204,,359.0664
37.592233091666700,-6.3551303694444400000,circle1,white,205,,359.0738
37.592232386111100,-6.3551322222222200000,circle1,white,206,,358.9776
37.592265594444400,-6.3551424722222200000,circle1,white,207,,359.2115
37.592271475000000,-6.3551458000000000000,circle1,white,208,,359.3166
37.592298530555600,-6.3551401000000000000,circle1,red,209,,359.6335
37.592302355555600,-6.3551396888888900000,circle1,white,210,,359.6565
37.592300838888900,-6.3551352861111100000,circle1,white,211,,359.6384
37.592305991666700,-6.3551371027777800000,circle1,blue,212,,359.703
37.592319480555600,-6.3551579944444400000,circle1,blue,213,,359.7832
37.592322930555600,-6.3551610611111100000,circle1,blue,214,,359.8969
37.592322880555600,-6.3551532833333300000,circle1,white,215,,359.6852
37.592331352777800,-6.3551569027777800000,circle1,white,216,,359.805
37.592333336111100,-6.3551531833333300000,circle1,white,217,,359.7648
37.592334019444400,-6.3551546027777800000,circle1,white,218,,359.8442
37.592333936111100,-6.3551576166666700000,circle1,white,219,,359.8731
37.592337750000000,-6.3551538027777800000,circle1,white,220,,359.8157
